Cod_Div,Latitud,Longitud,Región,Departamento,Fecha,Hora,Temperatura,Velocidad del Viento,Dirección del Viento,Presión,Punto de Rocío,Cobertura total nubosa,Precipitación (mm/h),Probabilidad de Tormenta,Humedad,Pronóstico 
11000000,4.649937,-74.106715,SAB,BOGOTÁ. D.C.,2018-10-15,12:00,14.6,1.9,153.5,1015.3,11.4,100.0,0.1,0.0,81.2,Nublado - Llovizna
11000000,4.649937,-74.106715,SAB,BOGOTÁ. D.C.,2018-10-15,13:00,14.9,1.8,153.5,1013.9,11.4,100.0,0.1,20.0,79.5,Nublado - Llovizna
11000000,4.649937,-74.106715,SAB,BOGOTÁ. D.C.,2018-10-15,14:00,15.1,1.8,147.1,1013.0,11.2,100.0,0.1,20.0,77.8,Nublado - Llovizna
11000000,4.649937,-74.106715,SAB,BOGOTÁ. D.C.,2018-10-15,15:00,15.2,1.9,143.5,1012.1,11.0,100.0,0.1,20.0,76.2,Nublado - Llovizna
11000000,4.649937,-74.106715,SAB,BOGOTÁ. D.C.,2018-10-15,16:00,15.3,1.9,137.1,1011.2,10.8,100.0,0.1,0.0,74.5,Nublado - Llovizna
11000000,4.649937,-74.106715,SAB,BOGOTÁ. D.C.,2018-10-15,17:00,14.3,1.7,137.1,1012.1,10.3,100.0,0.1,0.0,77.2,Nublado - Llovizna
11000000,4.649937,-74.106715,SAB,BOGOTÁ. D.C.,2018-10-15,18:00,13.3,1.4,130.0,1013.0,9.9,100.0,0.1,0.0,79.9,Nublado - Llovizna
11000000,4.649937,-74.106715,SAB,BOGOTÁ. D.C.,2018-10-15,19:00,12.2,1.2,130.0,1013.9,9.4,100.0,0.0,0.0,82.5,Nublado
11000000,4.649937,-74.106715,SAB,BOGOTÁ. D.C.,2018-10-15,20:00,12.0,1.2,130.0,1014.6,9.0,100.0,0.0,0.0,81.4,Nublado
11000000,4.649937,-74.106715,SAB,BOGOTÁ. D.C.,2018-10-15,21:00,11.9,1.3,122.9,1015.4,8.6,100.0,0.0,0.0,80.2,Nublado
11000000,4.649937,-74.106715,SAB,BOGOTÁ. D.C.,2018-10-15,22:00,11.7,1.3,122.9,1016.1,8.2,100.0,0.0,0.0,79.1,Nublado
11000000,4.649937,-74.106715,SAB,BOGOTÁ. D.C.,2018-10-15,23:00,11.7,1.2,122.9,1015.6,7.8,100.0,0.0,0.0,77.1,Nublado
11000000,4.649937,-74.106715,SAB,BOGOTÁ. D.C.,2018-10-16,00:00,11.7,1.1,122.5,1015.1,7.5,100.0,0.0,0.0,75.1,Nublado
11000000,4.649937,-74.106715,SAB,BOGOTÁ. D.C.,2018-10-16,01:00,11.7,1.0,122.5,1014.6,7.1,100.0,0.0,0.0,73.1,Nublado
11000000,4.649937,-74.106715,SAB,BOGOTÁ. D.C.,2018-10-16,02:00,11.6,1.0,132.5,1014.3,6.9,100.0,0.0,0.0,72.5,Nublado
11000000,4.649937,-74.106715,SAB,BOGOTÁ. D.C.,2018-10-16,03:00,11.6,0.9,141.7,1014.1,6.7,100.0,0.0,0.0,71.9,Nublado
11000000,4.649937,-74.106715,SAB,BOGOTÁ. D.C.,2018-10-16,04:00,11.5,0.9,151.7,1013.9,6.5,100.0,0.0,0.0,71.3,Nublado
11000000,4.649937,-74.106715,SAB,BOGOTÁ. D.C.,2018-10-16,05:00,12.2,0.9,141.7,1014.6,7.0,100.0,0.0,0.0,70.4,Nublado
11000000,4.649937,-74.106715,SAB,BOGOTÁ. D.C.,2018-10-16,06:00,13.0,1.0,129.2,1015.3,7.5,100.0,0.0,0.0,69.5,Nublado
11000000,4.649937,-74.106715,SAB,BOGOTÁ. D.C.,2018-10-16,07:00,13.7,1.0,119.2,1016.1,8.1,100.0,0.0,0.0,68.6,Nublado
11000000,4.649937,-74.106715,SAB,BOGOTÁ. D.C.,2018-10-16,08:00,15.6,1.5,126.3,1015.8,8.6,100.0,0.0,0.0,63.1,Nublado
11000000,4.649937,-74.106715,SAB,BOGOTÁ. D.C.,2018-10-16,09:00,17.4,1.9,130.0,1015.5,9.0,90.8,0.0,0.0,57.6,Nublado
11000000,4.649937,-74.106715,SAB,BOGOTÁ. D.C.,2018-10-16,10:00,19.3,2.4,137.1,1015.2,9.2,90.8,0.0,0.0,52.1,Nublado
11000000,4.649937,-74.106715,SAB,BOGOTÁ. D.C.,2018-10-16,11:00,19.9,2.5,137.1,1013.6,9.2,90.8,0.2,0.0,50.4,Nublado - Llovizna
11000000,4.649937,-74.106715,SAB,BOGOTÁ. D.C.,2018-10-16,12:00,20.4,2.6,147.1,1012.0,9.3,90.8,0.3,0.0,48.7,Nublado - Llovizna
11000000,4.649937,-74.106715,SAB,BOGOTÁ. D.C.,2018-10-16,13:00,21.0,2.7,147.1,1010.3,9.3,90.8,0.4,0.0,47.1,Nublado - Llovizna
11000000,4.649937,-74.106715,SAB,BOGOTÁ. D.C.,2018-10-16,14:00,20.2,2.4,157.1,1009.8,9.6,90.8,0.4,0.0,50.4,Nublado - Llovizna
11000000,4.649937,-74.106715,SAB,BOGOTÁ. D.C.,2018-10-16,15:00,19.5,2.0,158.3,1009.3,9.9,90.8,0.4,0.0,53.7,Nublado - Llovizna
11000000,4.649937,-74.106715,SAB,BOGOTÁ. D.C.,2018-10-16,16:00,18.8,1.7,168.3,1008.8,10.1,90.8,0.4,0.0,57.0,Nublado - Llovizna
11000000,4.649937,-74.106715,SAB,BOGOTÁ. D.C.,2018-10-16,17:00,16.9,1.5,161.1,1010.0,10.3,90.8,0.3,0.0,65.2,Nublado - Llovizna
11000000,4.649937,-74.106715,SAB,BOGOTÁ. D.C.,2018-10-16,18:00,15.0,1.3,159.2,1011.2,10.2,90.8,0.3,0.0,73.4,Nublado - Llovizna
11000000,4.649937,-74.106715,SAB,BOGOTÁ. D.C.,2018-10-16,19:00,13.1,1.1,152.1,1012.5,10.0,90.8,0.2,0.0,81.5,Nublado - Llovizna
11000000,4.649937,-74.106715,SAB,BOGOTÁ. D.C.,2018-10-16,20:00,12.8,1.0,153.8,1013.2,9.8,90.8,0.1,0.0,82.1,Nublado - Llovizna
