Cod_Div	Latitud	Longitud	Región	Departamento	Fecha	Hora	Temperatura	Velocidad del Viento	Dirección del Viento	Presión	Punto de Rocío	Cobertura total nubosa	Precipitación (mm/h)	Probabilidad de Tormenta	Humedad	Pronóstico 
11000000	4.649937	-74.106715	SAB	BOGOTÁ. D.C.	2018-10-18	15:00	19	1.7	185.7	1008.8	12	77.4	2.1	60	63.8	Parcialmente nublado - Lluvias y tormentas
11000000	4.649937	-74.106715	SAB	BOGOTÁ. D.C.	2018-10-18	16:00	18.5	1.7	178.3	1008.3	12.2	77.4	0.9	60	67.2	Parcialmente nublado - Lluvias con probabilidad de Tormentas
11000000	4.649937	-74.106715	SAB	BOGOTÁ. D.C.	2018-10-18	17:00	16.9	1.5	170.8	1009.5	12.1	77.4	1.7	60	73.4	Parcialmente nublado - Lluvias con probabilidad de Tormentas
11000000	4.649937	-74.106715	SAB	BOGOTÁ. D.C.	2018-10-18	18:00	15.3	1.4	150.3	1010.6	11.8	77.4	1	60	79.6	Parcialmente nublado - Lluvias con probabilidad de Tormentas
11000000	4.649937	-74.106715	SAB	BOGOTÁ. D.C.	2018-10-18	19:00	13.7	1.3	142.9	1011.8	11.4	76.6	0.4	0	85.9	Nublado - Llovizna
11000000	4.649937	-74.106715	SAB	BOGOTÁ. D.C.	2018-10-18	20:00	13.6	1.1	151.7	1012.4	11.2	76.6	0.4	0	85.5	Nublado - Llovizna
11000000	4.649937	-74.106715	SAB	BOGOTÁ. D.C.	2018-10-18	21:00	13.6	0.9	194.2	1013.1	11.1	76.6	0.3	0	85.1	Nublado - Llovizna
11000000	4.649937	-74.106715	SAB	BOGOTÁ. D.C.	2018-10-18	22:00	13.5	0.8	178.1	1013.8	11	55.1	0.3	0	84.7	Parcialmente nublado - Llovizna
11000000	4.649937	-74.106715	SAB	BOGOTÁ. D.C.	2018-10-18	23:00	13.3	0.8	283.5	1013.6	10.8	55.1	0.2	0	85.1	Parcialmente nublado - Llovizna
11000000	4.649937	-74.106715	SAB	BOGOTÁ. D.C.	2018-10-19	00:00	13.1	0.8	315.6	1013.4	10.7	55.1	0.1	0	85.4	Parcialmente nublado - Llovizna
