"Hora","2018-10-18","2018-10-19","2018-10-20","2018-10-21","2018-10-22","2018-10-23"
"1","00:00",NA,13.1,13.1,11.8,13,12.9
"2","01:00",NA,12.9,12.8,11.5,12.8,12.8
"3","02:00",NA,12.9,12.7,11.4,13,13
"4","03:00",NA,12.9,12.6,11.3,13.3,13.2
"5","04:00",NA,12.9,12.5,11.2,13.6,12.9
"6","05:00",NA,12.5,12.8,12.1,13.8,13
"7","06:00",NA,13.2,13.1,13,14,13.2
"8","07:00",NA,13.9,13.4,13.9,14.2,13.3
"9","08:00",NA,15.3,14.4,16.2,15.1,14
"10","09:00",NA,17.1,15.4,18.4,15.8,14.7
"11","10:00",NA,18.3,16.4,20.7,16.6,15.4
"12","11:00",NA,18.4,16.4,20.6,17.3,NA
"13","12:00",NA,18.4,16.5,20.5,18.1,NA
"14","13:00",NA,18.5,16.6,20.4,18.8,NA
"15","14:00",NA,17.8,16.1,19.3,18,NA
"16","15:00",19,17.2,15.7,18.1,17.8,NA
"17","16:00",18.5,16.6,15.3,17,17.3,NA
"18","17:00",16.9,15.7,14.5,15.9,16.2,NA
"19","18:00",15.3,14.8,13.7,14.7,15,NA
"20","19:00",13.7,14,12.9,13.6,13.9,NA
"21","20:00",13.6,13.8,12.7,13.4,13.7,NA
"22","21:00",13.6,13.7,12.5,13.3,13.5,NA
"23","22:00",13.5,13.6,12.3,13.3,13.3,NA
"24","23:00",13.3,13.3,12.1,13.1,13.1,NA
